time,river_level (m)
2022-11-04 04:28:37+00:00,1.305
2022-11-04 05:28:41+00:00,1.305
2022-11-04 06:28:41+00:00,1.305
2022-11-04 07:28:42+00:00,1.305
2022-11-04 08:28:42+00:00,1.305
2022-11-04 09:28:42+00:00,1.305
2022-11-04 10:28:43+00:00,1.305
2022-11-04 11:28:40+00:00,1.305
2022-11-04 12:28:39+00:00,1.305
2022-11-04 13:28:42+00:00,1.305
2022-11-04 14:28:43+00:00,1.305
2022-11-04 15:28:42+00:00,1.305
2022-11-04 16:28:42+00:00,1.305
2022-11-04 17:28:42+00:00,1.305
2022-11-04 18:28:44+00:00,1.305
2022-11-04 19:28:39+00:00,1.305
2022-11-04 20:28:43+00:00,1.305
2022-11-04 21:28:44+00:00,1.305
2022-11-04 22:28:45+00:00,1.305
2022-11-04 23:28:44+00:00,1.305
2022-11-05 00:28:47+00:00,1.305
2022-11-05 01:28:45+00:00,1.305
2022-11-05 02:28:43+00:00,1.305
2022-11-05 03:28:45+00:00,1.305
2022-11-05 04:28:39+00:00,1.305
2022-11-05 05:28:44+00:00,1.305
2022-11-05 06:28:43+00:00,1.305
2022-11-05 07:28:44+00:00,1.305
2022-11-05 08:28:44+00:00,1.305
2022-11-05 09:28:44+00:00,1.305
2022-11-05 10:28:44+00:00,1.305
2022-11-05 11:28:43+00:00,1.305
2022-11-05 12:28:46+00:00,1.305
2022-11-05 13:28:46+00:00,1.305
2022-11-05 14:28:45+00:00,1.305
2022-11-05 15:28:42+00:00,1.305
2022-11-05 16:28:44+00:00,1.305
2022-11-05 17:28:41+00:00,1.305
2022-11-05 18:28:43+00:00,1.305
2022-11-05 19:28:46+00:00,1.305
2022-11-05 20:28:44+00:00,1.305
2022-11-05 21:28:45+00:00,1.305
2022-11-05 22:28:47+00:00,1.305
2022-11-05 23:28:46+00:00,1.305
2022-11-06 00:28:45+00:00,1.305
2022-11-06 01:28:48+00:00,1.305
2022-11-06 02:28:45+00:00,1.305
2022-11-06 03:28:45+00:00,1.305
2022-11-06 04:28:46+00:00,1.305
2022-11-06 05:28:46+00:00,1.305
2022-11-06 06:28:47+00:00,1.305
2022-11-06 07:28:44+00:00,1.305
2022-11-06 08:28:45+00:00,1.305
2022-11-06 09:28:45+00:00,1.305
2022-11-06 10:28:46+00:00,1.305
2022-11-06 11:28:46+00:00,1.305
2022-11-06 12:28:45+00:00,1.305
2022-11-06 13:28:46+00:00,1.305
2022-11-06 14:28:46+00:00,1.305
2022-11-06 15:28:44+00:00,1.305
2022-11-06 16:28:47+00:00,1.305
2022-11-06 17:28:44+00:00,1.305
2022-11-06 18:28:45+00:00,1.305
2022-11-06 19:28:48+00:00,1.305
2022-11-06 20:28:48+00:00,1.305
2022-11-06 21:28:47+00:00,1.305
2022-11-06 22:28:47+00:00,1.305
2022-11-06 23:28:47+00:00,1.305
2022-11-07 00:28:48+00:00,1.305
2022-11-07 01:28:49+00:00,1.305
2022-11-07 02:28:46+00:00,1.305
2022-11-07 03:28:47+00:00,1.305
2022-11-07 04:28:47+00:00,1.305
2022-11-07 05:28:47+00:00,1.305
2022-11-07 06:29:31+00:00,1.305
2022-11-07 07:29:49+00:00,1.305
2022-11-07 08:29:50+00:00,1.305
2022-11-07 09:29:49+00:00,1.305
2022-11-07 10:29:49+00:00,1.305
2022-11-07 11:29:48+00:00,1.305
2022-11-07 12:29:50+00:00,1.305
2022-11-07 13:29:49+00:00,1.305
2022-11-07 14:29:48+00:00,1.305
2022-11-07 15:29:48+00:00,1.305
2022-11-07 16:29:48+00:00,1.305
2022-11-07 17:29:49+00:00,1.305
2022-11-07 18:29:49+00:00,1.305
2022-11-07 19:29:50+00:00,1.305
2022-11-07 20:29:49+00:00,1.305
2022-11-07 21:29:50+00:00,1.305
2022-11-07 22:29:49+00:00,1.305
2022-11-07 23:29:50+00:00,1.305
2022-11-08 00:29:49+00:00,1.305
2022-11-08 01:29:50+00:00,1.305
2022-11-08 02:29:49+00:00,1.305
2022-11-08 03:29:51+00:00,1.305
2022-11-08 04:29:51+00:00,1.305
2022-11-08 05:29:48+00:00,1.305
2022-11-08 06:29:50+00:00,1.305
2022-11-08 07:29:50+00:00,1.305
2022-11-08 08:29:51+00:00,1.305
2022-11-08 09:29:48+00:00,1.305
2022-11-08 10:29:51+00:00,1.305
2022-11-08 11:29:51+00:00,1.305
2022-11-08 12:29:49+00:00,1.305
2022-11-08 13:29:49+00:00,1.305
2022-11-08 14:29:54+00:00,1.305
2022-11-08 15:29:53+00:00,1.305
2022-11-08 16:29:52+00:00,1.305
2022-11-08 17:29:53+00:00,1.305
2022-11-08 18:29:51+00:00,1.305
2022-11-08 19:29:50+00:00,1.305
2022-11-08 20:29:53+00:00,1.305
2022-11-08 21:29:50+00:00,1.305
2022-11-08 22:29:52+00:00,1.305
2022-11-08 23:29:51+00:00,1.305
2022-11-09 00:29:51+00:00,1.305
2022-11-09 01:29:53+00:00,1.305
2022-11-09 02:29:51+00:00,1.305
2022-11-09 03:29:52+00:00,1.305
2022-11-09 04:29:52+00:00,1.305
2022-11-09 05:29:52+00:00,1.305
2022-11-09 06:29:51+00:00,1.305
2022-11-09 07:29:50+00:00,1.305
2022-11-09 08:29:53+00:00,1.305
2022-11-09 09:29:53+00:00,1.305
2022-11-09 10:29:50+00:00,1.305
2022-11-09 11:29:50+00:00,1.305
2022-11-09 12:29:51+00:00,1.305
2022-11-09 13:29:50+00:00,1.305
2022-11-09 14:29:51+00:00,1.305
2022-11-09 15:29:53+00:00,1.305
2022-11-09 16:29:52+00:00,1.305
2022-11-09 17:29:51+00:00,1.305
2022-11-09 18:29:51+00:00,1.305
2022-11-09 19:29:54+00:00,1.305
2022-11-09 20:29:52+00:00,1.305
2022-11-09 21:29:51+00:00,1.305
2022-11-09 22:29:53+00:00,1.305
2022-11-09 23:29:54+00:00,1.305
2022-11-10 00:29:53+00:00,1.305
2022-11-10 01:29:55+00:00,1.305
2022-11-10 02:29:55+00:00,1.305
2022-11-10 03:29:52+00:00,1.305
2022-11-10 04:29:53+00:00,1.305
2022-11-10 05:29:54+00:00,1.305
2022-11-10 07:54:49+00:00,1.305
2022-11-10 08:54:53+00:00,1.305
2022-11-10 09:54:53+00:00,1.305
2022-11-10 10:54:56+00:00,1.305
2022-11-10 11:54:56+00:00,1.305
2022-11-10 12:55:11+00:00,1.305
2022-11-10 13:54:49+00:00,1.305
2022-11-10 14:54:52+00:00,1.305
2022-11-10 15:54:55+00:00,1.305
2022-11-10 16:55:09+00:00,1.305
2022-11-10 17:54:54+00:00,1.305
2022-11-10 18:54:54+00:00,1.305
2022-11-10 19:54:55+00:00,1.305
2022-11-10 20:54:56+00:00,1.305
2022-11-10 21:54:55+00:00,1.305
2022-11-10 22:54:57+00:00,1.305
2022-11-10 23:54:57+00:00,1.305
2022-11-11 00:54:56+00:00,1.305
2022-11-11 01:54:54+00:00,1.305
2022-11-11 02:54:55+00:00,1.305
2022-11-11 03:54:56+00:00,1.305
2022-11-11 04:54:53+00:00,1.305
2022-11-11 05:54:55+00:00,1.305
2022-11-11 06:54:56+00:00,1.305
2022-11-11 07:54:55+00:00,1.305
2022-11-11 08:54:56+00:00,1.305
2022-11-11 09:54:58+00:00,1.305
2022-11-11 10:54:55+00:00,1.305
2022-11-11 11:54:54+00:00,1.305
2022-11-11 12:54:57+00:00,1.305
2022-11-11 13:54:56+00:00,1.305
2022-11-11 14:54:56+00:00,1.305
2022-11-11 15:54:57+00:00,1.305
2022-11-11 16:54:56+00:00,1.305
2022-11-11 17:54:55+00:00,1.305
2022-11-11 18:54:57+00:00,1.305
2022-11-11 19:54:59+00:00,1.305
2022-11-11 20:54:57+00:00,1.305
2022-11-11 21:54:58+00:00,1.305
2022-11-11 22:54:57+00:00,1.305
2022-11-11 23:54:58+00:00,1.305
2022-11-12 00:54:58+00:00,1.305
2022-11-12 01:54:57+00:00,1.305
2022-11-12 02:54:56+00:00,1.305
2022-11-12 03:54:57+00:00,1.305
2022-11-12 04:54:55+00:00,1.305
2022-11-12 05:54:55+00:00,1.305
2022-11-12 06:54:59+00:00,1.305
2022-11-12 07:54:57+00:00,1.305
2022-11-12 08:54:59+00:00,1.305
2022-11-12 09:54:58+00:00,1.305
2022-11-12 10:54:58+00:00,1.305
2022-11-12 11:54:55+00:00,1.305
2022-11-12 12:54:58+00:00,1.305
2022-11-12 13:54:57+00:00,1.305
2022-11-12 14:54:56+00:00,1.305
2022-11-12 15:54:57+00:00,1.305
2022-11-12 17:55:12+00:00,1.305
2022-11-12 18:54:58+00:00,1.305
2022-11-12 19:54:59+00:00,1.305
2022-11-12 20:54:59+00:00,1.305
2022-11-12 21:55:00+00:00,1.305
2022-11-12 22:55:00+00:00,1.305
2022-11-12 23:55:00+00:00,1.305
2022-11-13 00:55:00+00:00,1.305
2022-11-13 01:55:00+00:00,1.305
2022-11-13 02:54:59+00:00,1.305
2022-11-13 03:54:58+00:00,1.305
2022-11-13 04:55:00+00:00,1.305
2022-11-13 05:55:03+00:00,1.305
2022-11-13 06:54:59+00:00,1.305
2022-11-13 07:54:58+00:00,1.305
2022-11-13 08:54:57+00:00,1.305
2022-11-13 09:55:01+00:00,1.305
2022-11-13 10:55:00+00:00,1.305
2022-11-13 12:55:01+00:00,1.305
2022-11-13 13:55:02+00:00,1.305
2022-11-13 14:54:59+00:00,1.305
